plant.sp,genus,species,k.type
Pinguicula alpina,Pinguicula,alpina,5.2
Plantago intermedia,Plantago,intermedia,0
Plantago lanceolata,Plantago,lanceolata,0
Plantago major,Plantago,major,0
Plantago media,Plantago,media,0
Plantago winteri,Plantago,winteri,0
Platanthera bifolia,Platanthera,bifolia,5.4
Poa alpina,Poa,alpina,0
Poa angustifolia,Poa,angustifolia,0
Poa annua,Poa,annua,0
Poa badensis,Poa,badensis,0
Poa humilis,Poa,humilis,0
Poa pratensis,Poa,pratensis,0
Poa supina,Poa,supina,0
Poa trivialis,Poa,trivialis,0
Polygala alpestris,Polygala,alpestris,6.2
Polygala amara,Polygala,amara,6.2
Polygala amarella,Polygala,amarella,6.2
Polygala chamaebuxus,Polygala,chamaebuxus,6.2
Polygonatum odoratum,Polygonatum,odoratum,3.2
Polygonatum verticillatum,Polygonatum,verticillatum,3.2
Potentilla aurea,Potentilla,aurea,1.2ba
Potentilla brauneana,Potentilla,brauneana,1.2ba
Potentilla erecta,Potentilla,erecta,1.2ba
Potentilla reptans,Potentilla,reptans,1.2ba
Prenanthes purpurea,Prenanthes,purpurea,7.2b
Primula auricula,Primula,auricula,4.1
Primula elatior,Primula,elatior,4.1
Primula farinosa,Primula,farinosa,4.1
Primula minima,Primula,minima,4.1
Primula veris,Primula,veris,4.1
Primula vulgaris,Primula,vulgaris,4.1
Pritzelago alpina,Pritzelago,alpina,1.2bb
Prunella grandiflora,Prunella,grandiflora,5.1
Prunella laciniata,Prunella,laciniata,5.1
Prunella vulgaris,Prunella,vulgaris,5.1
Pseudorchis albida,Pseudorchis,albida,5.4
Pulmonaria obscura,Pulmonaria,obscura,4.1
Pulmonaria officinalis,Pulmonaria,officinalis,4.1
Pulsatilla alpina,Pulsatilla,alpina,3.2
Pulsatilla micrantha,Pulsatilla,micrantha,3.2
Pyrola rotundifolia,Pyrola,rotundifolia,3.1
Ranunculus aconitifolius,Ranunculus,aconitifolius,1.2bc
Ranunculus acris,Ranunculus,acris,1.2bc
Ranunculus alpestris,Ranunculus,alpestris,1.2bc
Ranunculus breyninus,Ranunculus,breyninus,1.2bc
Ranunculus carinthiacus,Ranunculus,carinthiacus,1.2bc
Ranunculus ficaria,Ranunculus,ficaria,1.2bc
Ranunculus montanus,Ranunculus,montanus,1.2bc
Ranunculus nemorosus,Ranunculus,nemorosus,1.2bc
Ranunculus platanifolius,Ranunculus,platanifolius,1.2bc
Ranunculus polyanthemoides,Ranunculus,polyanthemoides,1.2bc
Ranunculus polyanthemophyllus,Ranunculus,polyanthemophyllus,1.2bc
Ranunculus polyanthemos,Ranunculus,polyanthemos,1.2bc
Ranunculus repens,Ranunculus,repens,1.2bc
Ranunculus serpens,Ranunculus,serpens,1.2bc
Ranunculus villarsii,Ranunculus,villarsii,1.2bc
Rhinanthus alectorolophus,Rhinanthus,alectorolophus,5.1
Rhinanthus glacialis,Rhinanthus,glacialis,5.1
Rhinanthus minor,Rhinanthus,minor,5.1
Rhinanthus rumelicus,Rhinanthus,rumelicus,5.1
