plant.sp,plant.genus,plant.family,k.type,k.type.s,k.type.ss
Saxifraga androsacea,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga caesia,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga paniculata,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga rotundifolia,Saxifraga,Saxifragaceae,1.2a,1.2,1
Saxifraga stellaris,Saxifraga,Saxifragaceae,1.2a,1.2,1
Scabiosa lucida,Scabiosa,Caprifoliaceae,7.1,7.1,7
Scrophularia nodosa,Scrophularia,Scrophulariaceae,5.2,5.2,5
Sedum album,Sedum,Crassulaceae,1.2bd,1.2,1
Sedum atratum,Sedum,Crassulaceae,1.2bd,1.2,1
Senecio abrotanifolius,Senecio,Asteraceae,7.2c,7.2,7
Senecio ovatus,Senecio,Asteraceae,7.2c,7.2,7
Sesleria albicans,Sesleria,Poaceae,0,0,0
Sesleria caerulea,Sesleria,Poaceae,NA,0,0
Silene acaulis,Silene,Caryophyllaceae,4.2,4.2,4
Silene dioica,Silene,Caryophyllaceae,4.2,4.2,4
Silene flos-cuculi,Silene,Caryophyllaceae,NA,4.2,4
Silene nutans,Silene,Caryophyllaceae,4.2,4.2,4
Silene vulgaris,Silene,Caryophyllaceae,4.2,4.2,4
Solanum dulcamara,Solanum,Solanaceae,1.1,1.1,1
Soldanella alpina,Soldanella,Primulaceae,3.1,3.1,3
Solidago virgaurea,Solidago,Asteraceae,7.2c,7.2,7
Stachys alopecuros,Stachys,Lamiaceae,NA,5.1,5
Stachys officinalis,Stachys,Lamiaceae,NA,5.1,5
Stachys sylvatica,Stachys,Lamiaceae,5.1,5.1,5
Stellaria graminea,Stellaria,Caryophyllaceae,1.2bb,1.2,1
Stellaria nemorum,Stellaria,Caryophyllaceae,1.2bb,1.2,1
Taraxacum officinale,Taraxacum,Asteraceae,NA,7.2,7
Teucrium chamaedrys,Teucrium,Lamiaceae,5.1,5.1,5
Thalictrum aquilegiifolium,Thalictrum,Ranunculaceae,9,9,9
Thesium alpinum,Thesium,Thesiaceae,1.2ba,1.2,1
Thymus praecox,Thymus,Lamiaceae,5.1,5.1,5
Thymus pulegioides,Thymus,Lamiaceae,5.1,5.1,5
Tofieldia calyculata,Tofieldia,Tofieldiaceae,1.2a,1.2,1
Tofieldia pusilla,Tofieldia,Tofieldiaceae,1.2a,1.2,1
Tragopogon pratensis,Tragopogon,Asteraceae,7.2b,7.2,7
Traunsteinera globosa,Traunsteinera,Orchidaceae,7.1,7.1,7
Trifolium badium,Trifolium,Fabaceae,6.1a,6.1,6
Trifolium medium,Trifolium,Fabaceae,6.1a,6.1,6
Trifolium montanum,Trifolium,Fabaceae,6.1a,6.1,6
