plant.sp,plant.genus,k.type,k.type.s,k.type.ss
Ranunculus polyanthemophyllus,Ranunculus,1.2bc,1.2,1
Ranunculus polyanthemos,Ranunculus,1.2bc,1.2,1
Ranunculus repens,Ranunculus,1.2bc,1.2,1
Ranunculus serpens,Ranunculus,1.2bc,1.2,1
Ranunculus villarsii,Ranunculus,1.2bc,1.2,1
Rhinanthus alectorolophus,Rhinanthus,5.1,5.1,5
Rhinanthus glacialis,Rhinanthus,5.1,5.1,5
Rhinanthus minor,Rhinanthus,5.1,5.1,5
Rhinanthus rumelicus,Rhinanthus,5.1,5.1,5
Rhododendron hirsutum,Rhododendron,3.1,3.1,3
Rhodothamnus chamaecistus,Rhodothamnus,5.6,5.6,5
Rosa canina,Rosa,1.1,1.1,1
Rosa corymbifera,Rosa,1.1,1.1,1
Rosa dumalis,Rosa,1.1,1.1,1
Rubus idaeus,Rubus,1.2ba,1.2,1
Rumex acetosa,Rumex,0,0,0
Rumex arifolius,Rumex,0,0,0
Rumex obtusifolius,Rumex,0,0,0
Sagina procumbens,Sagina,1.2bb,1.2,1
Sagina saginoides,Sagina,1.2bb,1.2,1
Salix retusa,Salix,9,9,9
Salix serpillifolia,Salix,9,9,9
Salvia glutinosa,Salvia,5.1,5.1,5
Salvia verticillata,Salvia,5.1,5.1,5
Sanguisorba officinalis,Sanguisorba,1.2ba,1.2,1
Sanicula europaea,Sanicula,1.2a,1.2,1
Saxifraga aizoides,Saxifraga,1.2a,1.2,1
Saxifraga androsacea,Saxifraga,1.2a,1.2,1
Saxifraga caesia,Saxifraga,1.2a,1.2,1
Saxifraga paniculata,Saxifraga,1.2a,1.2,1
Saxifraga rotundifolia,Saxifraga,1.2a,1.2,1
Saxifraga stellaris,Saxifraga,1.2a,1.2,1
Scabiosa lucida,Scabiosa,7.1,7.1,7
Scrophularia nodosa,Scrophularia,5.2,5.2,5
Sedum album,Sedum,1.2bd,1.2,1
Sedum atratum,Sedum,1.2bd,1.2,1
Senecio abrotanifolius,Senecio,7.2c,7.2,7
Senecio germanicus,Senecio,7.2c,7.2,7
Senecio ovatus,Senecio,7.2c,7.2,7
Sesleria albicans,Sesleria,0,0,0
Silene acaulis,Silene,4.2,4.2,4
Silene dioica,Silene,4.2,4.2,4
Silene nutans,Silene,4.2,4.2,4
Silene vulgaris,Silene,4.2,4.2,4
Solanum dulcamara,Solanum,1.1,1.1,1
Soldanella alpina,Soldanella,3.1,3.1,3
Solidago virgaurea,Solidago,7.2c,7.2,7
Stachys sylvatica,Stachys,5.1,5.1,5
Stellaria graminea,Stellaria,1.2bb,1.2,1
Stellaria nemorum,Stellaria,1.2bb,1.2,1
Taraxacum sect.,Taraxacum,7.2b,7.2,7
Taraxacum sect.,Taraxacum,7.2b,7.2,7
Taraxacum sect.,Taraxacum,7.2b,7.2,7
Teucrium chamaedrys,Teucrium,5.1,5.1,5
Thalictrum aquilegiifolium,Thalictrum,9,9,9
Thesium alpinum,Thesium,1.2ba,1.2,1
Thymus praecox,Thymus,5.1,5.1,5
Thymus pulegioides,Thymus,5.1,5.1,5
Tofieldia calyculata,Tofieldia,1.2a,1.2,1
Tofieldia pusilla,Tofieldia,1.2a,1.2,1
Tragopogon minor,Tragopogon,7.2b,7.2,7
Tragopogon orientalis,Tragopogon,7.2b,7.2,7
Tragopogon pratensis,Tragopogon,7.2b,7.2,7
Traunsteinera globosa,Traunsteinera,7.1,7.1,7
Trifolium badium,Trifolium,6.1a,6.1,6
Trifolium medium,Trifolium,6.1a,6.1,6
Trifolium montanum,Trifolium,6.1a,6.1,6
Trifolium pratense,Trifolium,6.1a,6.1,6
Trifolium repens,Trifolium,6.1a,6.1,6
Trisetum flavescens,Trisetum,0,0,0
Trollius europaeus,Trollius,1.2bf,1.2,1
Tussilago farfara,Tussilago,7.2c,7.2,7
Urtica dioica,Urtica,0,0,0
Vaccinium myrtillus,Vaccinium,3.1,3.1,3
