site,elev,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
wma2,124.5,lapi_prat,lapi,prat,2,45,0.6586064269805918,short:short,0.6931471805599453,3.8066624897703196
wma2,124.5,lapi_psit,lapi,psit,2,21,0.15356489945155394,short:short,0.6931471805599453,3.044522437723423
wma2,124.5,lapi_soro,lapi,soro,2,76,0.10951008645533133,short:short,0.6931471805599453,4.330733340286331
wma2,124.5,lapi_telu,lapi,telu,2,135,0.22648415754756546,short:short,0.6931471805599453,4.90527477843843
wma2,124.5,lapi_wurf,lapi,wurf,2,169,0.5246928197437314,short:med,0.6931471805599453,5.1298987149230735
wma2,124.5,pasc_prat,pasc,prat,270,45,0.772935916542474,short:med,5.598421958998375,3.8066624897703196
wma2,124.5,pasc_psit,pasc,psit,270,21,0.3082855182335118,short:med,5.598421958998375,3.044522437723423
wma2,124.5,pasc_soro,pasc,soro,270,76,0.6971702896528464,short:med,5.598421958998375,4.330733340286331
wma2,124.5,pasc_telu,pasc,telu,270,135,0.7457696228338431,short:med,5.598421958998375,4.90527477843843
wma2,124.5,pasc_wurf,pasc,wurf,270,169,0.5583943148505152,med:med,5.598421958998375,5.1298987149230735
wma2,124.5,prat_psit,prat,psit,45,21,0.40594160138366053,short:short,3.8066624897703196,3.044522437723423
wma2,124.5,prat_soro,prat,soro,45,76,0.3818934629568106,short:short,3.8066624897703196,4.330733340286331
wma2,124.5,prat_telu,prat,telu,45,135,0.495571302037201,short:short,3.8066624897703196,4.90527477843843
wma2,124.5,prat_wurf,prat,wurf,45,169,0.5439446661167705,short:med,3.8066624897703196,5.1298987149230735
wma2,124.5,psit_soro,psit,soro,21,76,0.2553821693457645,short:short,3.044522437723423,4.330733340286331
wma2,124.5,psit_telu,psit,telu,21,135,0.2803470303981225,short:short,3.044522437723423,4.90527477843843
wma2,124.5,psit_wurf,psit,wurf,21,169,0.280243209096652,short:med,3.044522437723423,5.1298987149230735
wma2,124.5,soro_telu,soro,telu,76,135,0.7924535169574255,short:short,4.330733340286331,4.90527477843843
wma2,124.5,soro_wurf,soro,wurf,76,169,0.1503548892529073,short:med,4.330733340286331,5.1298987149230735
wma2,124.5,telu_wurf,telu,wurf,135,169,0.28651239778124227,short:med,4.90527477843843,5.1298987149230735
wma4,177.3,hort_hypn,hort,hypn,5,1,0,med:long,1.6094379124341003,0
wma4,177.3,hort_jone,hort,jone,5,4,0,short:long,1.6094379124341003,1.3862943611198906
wma4,177.3,hort_lapi,hort,lapi,5,2,0.2564102564102564,short:long,1.6094379124341003,0.6931471805599453
wma4,177.3,hort_mont,hort,mont,5,7,0.41257367387033406,med:long,1.6094379124341003,1.9459101490553132
wma4,177.3,hort_pasc,hort,pasc,5,4,0.33149171270718236,med:long,1.6094379124341003,1.3862943611198906
wma4,177.3,hort_prat,hort,prat,5,12,0.30808729139922975,short:long,1.6094379124341003,2.4849066497880004
wma4,177.3,hort_pyre,hort,pyre,5,1,0,short:long,1.6094379124341003,0
wma4,177.3,hort_soro,hort,soro,5,33,0.0321982632451947,short:long,1.6094379124341003,3.4965075614664802
wma4,177.3,hort_telu,hort,telu,5,65,0.04140127388535031,short:long,1.6094379124341003,4.174387269895637
wma4,177.3,hort_wurf,hort,wurf,5,33,0.15799553143951484,med:long,1.6094379124341003,3.4965075614664802
wma4,177.3,hypn_jone,hypn,jone,1,4,0,short:med,0,1.3862943611198906
wma4,177.3,hypn_lapi,hypn,lapi,1,2,0,short:med,0,0.6931471805599453
wma4,177.3,hypn_mont,hypn,mont,1,7,0,med:med,0,1.9459101490553132
wma4,177.3,hypn_pasc,hypn,pasc,1,4,0,med:med,0,1.3862943611198906
wma4,177.3,hypn_prat,hypn,prat,1,12,0.4337349397590362,short:med,0,2.4849066497880004
wma4,177.3,hypn_pyre,hypn,pyre,1,1,0,short:med,0,0
wma4,177.3,hypn_soro,hypn,soro,1,33,0.0822942643391521,short:med,0,3.4965075614664802
wma4,177.3,hypn_telu,hypn,telu,1,65,0,short:med,0,4.174387269895637
wma4,177.3,hypn_wurf,hypn,wurf,1,33,0.04296875,med:med,0,3.4965075614664802
wma4,177.3,jone_lapi,jone,lapi,4,2,0,short:short,1.3862943611198906,0.6931471805599453
wma4,177.3,jone_mont,jone,mont,4,7,0,short:med,1.3862943611198906,1.9459101490553132
wma4,177.3,jone_pasc,jone,pasc,4,4,0,short:med,1.3862943611198906,1.3862943611198906
wma4,177.3,jone_prat,jone,prat,4,12,0.14457831325301207,short:short,1.3862943611198906,2.4849066497880004
wma4,177.3,jone_pyre,jone,pyre,4,1,0,short:short,1.3862943611198906,0
wma4,177.3,jone_soro,jone,soro,4,33,0,short:short,1.3862943611198906,3.4965075614664802
wma4,177.3,jone_telu,jone,telu,4,65,0.9544787077826725,short:short,1.3862943611198906,4.174387269895637
wma4,177.3,jone_wurf,jone,wurf,4,33,0,short:med,1.3862943611198906,3.4965075614664802
wma4,177.3,lapi_mont,lapi,mont,2,7,0.6796116504854369,short:med,0.6931471805599453,1.9459101490553132
wma4,177.3,lapi_pasc,lapi,pasc,2,4,0,short:med,0.6931471805599453,1.3862943611198906
wma4,177.3,lapi_prat,lapi,prat,2,12,0.25531914893617014,short:short,0.6931471805599453,2.4849066497880004
wma4,177.3,lapi_pyre,lapi,pyre,2,1,0,short:short,0.6931471805599453,0
wma4,177.3,lapi_soro,lapi,soro,2,33,0.031146767343086412,short:short,0.6931471805599453,3.4965075614664802
wma4,177.3,lapi_telu,lapi,telu,2,65,0.02767429483767958,short:short,0.6931471805599453,4.174387269895637
wma4,177.3,lapi_wurf,lapi,wurf,2,33,0,short:med,0.6931471805599453,3.4965075614664802
wma4,177.3,mont_pasc,mont,pasc,7,4,0.18221258134490237,med:med,1.9459101490553132,1.3862943611198906
wma4,177.3,mont_prat,mont,prat,7,12,0.33830044301248485,short:med,1.9459101490553132,2.4849066497880004
