site,date,yday,elev.mean,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
ho3,2012-07-29,211,1333,pasc_prat,pasc,prat,3,9,0.19999999999999996,short:med,1.0986122886681098,2.1972245773362196
ho3,2012-07-29,211,1333,pasc_soro,pasc,soro,3,1,0,short:med,1.0986122886681098,0
ho3,2012-07-29,211,1333,pasc_telu,pasc,telu,3,4,0.19999999999999996,short:med,1.0986122886681098,1.3862943611198906
ho3,2012-07-29,211,1333,pasc_wurf,pasc,wurf,3,2,0.19999999999999996,med:med,1.0986122886681098,0.6931471805599453
ho3,2012-07-29,211,1333,prat_soro,prat,soro,9,1,0,short:short,2.1972245773362196,0
ho3,2012-07-29,211,1333,prat_telu,prat,telu,9,4,0.3846153846153847,short:short,2.1972245773362196,1.3862943611198906
ho3,2012-07-29,211,1333,prat_wurf,prat,wurf,9,2,0.33333333333333337,short:med,2.1972245773362196,0.6931471805599453
ho3,2012-07-29,211,1333,soro_telu,soro,telu,1,4,0,short:short,0,1.3862943611198906
ho3,2012-07-29,211,1333,soro_wurf,soro,wurf,1,2,0.33333333333333337,short:med,0,0.6931471805599453
ho3,2012-07-29,211,1333,telu_wurf,telu,wurf,4,2,0.33333333333333337,short:med,1.3862943611198906,0.6931471805599453
ho2,2012-07-25,207,1045,hort_pasc,hort,pasc,2,19,0.2666666666666666,med:long,0.6931471805599453,2.9444389791664403
ho2,2012-07-25,207,1045,hort_prat,hort,prat,2,1,0,short:long,0.6931471805599453,0
ho2,2012-07-25,207,1045,hort_soro,hort,soro,2,1,0,short:long,0.6931471805599453,0
ho2,2012-07-25,207,1045,pasc_prat,pasc,prat,19,1,0.027027027027026973,short:med,2.9444389791664403,0
ho2,2012-07-25,207,1045,pasc_soro,pasc,soro,19,1,0,short:med,2.9444389791664403,0
ho2,2012-07-25,207,1045,prat_soro,prat,soro,1,1,0,short:short,0,0
ho2,2012-08-02,215,1045,hort_pasc,hort,pasc,2,9,0.05882352941176461,med:long,0.6931471805599453,2.1972245773362196
ho2,2012-08-02,215,1045,hort_prat,hort,prat,2,2,0,short:long,0.6931471805599453,0.6931471805599453
ho2,2012-08-02,215,1045,hort_soro,hort,soro,2,1,0.33333333333333337,short:long,0.6931471805599453,0
ho2,2012-08-02,215,1045,pasc_prat,pasc,prat,9,2,0,short:med,2.1972245773362196,0.6931471805599453
ho2,2012-08-02,215,1045,pasc_soro,pasc,soro,9,1,0.05882352941176461,short:med,2.1972245773362196,0
ho2,2012-08-02,215,1045,prat_soro,prat,soro,2,1,0,short:short,0.6931471805599453,0
ho2,2012-08-08,221,1045,hort_pasc,hort,pasc,3,4,0.1428571428571429,med:long,1.0986122886681098,1.3862943611198906
ho2,2012-08-08,221,1045,hort_prat,hort,prat,3,2,0,short:long,1.0986122886681098,0.6931471805599453
ho2,2012-08-08,221,1045,hort_wurf,hort,wurf,3,1,0,med:long,1.0986122886681098,0
