site,elev.mean,date,yday,ktype,visits,prop.visits,bb.abund,perc.flower.cover,elev.mean0,yday0,prop.flower.cover0,bb.abund0,visits.bin,year
ho1,841,2012-06-05,157,7,0,0,1,40.22988505747126,-1.1070955846951966,-0.853128018444905,1.3929239217560165,-0.8554755386386431,0,2012
ho1,841,2012-06-08,160,0,0,0,1,16.78321678321678,-1.1070955846951966,-0.7690423468617575,0.1318777372242887,-0.8554755386386431,0,2012
ho1,841,2012-06-08,160,1,0,0,1,30.769230769230766,-1.1070955846951966,-0.7690423468617575,0.8840958932356723,-0.8554755386386431,0,2012
ho1,841,2012-06-08,160,3,0,0,1,1.3986013986013983,-1.1070955846951966,-0.7690423468617575,-0.6955622343882333,-0.8554755386386431,0,2012
ho1,841,2012-06-08,160,4,0,0,1,1.3986013986013983,-1.1070955846951966,-0.7690423468617575,-0.6955622343882333,-0.8554755386386431,0,2012
ho1,841,2012-06-08,160,5,1,1,1,4.195804195804195,-1.1070955846951966,-0.7690423468617575,-0.5451186031859566,-0.8554755386386431,1,2012
ho1,841,2012-06-08,160,6,0,0,1,4.895104895104895,-1.1070955846951966,-0.7690423468617575,-0.5075076953853873,-0.8554755386386431,0,2012
ho1,841,2012-06-08,160,7,0,0,1,40.55944055944056,-1.1070955846951966,-0.7690423468617575,1.4106486024436409,-0.8554755386386431,0,2012
ho1,841,2012-06-19,171,0,0,0,2,21.839080459770116,-1.1070955846951966,-0.46072821772355027,0.40380027752955344,-0.7941271458798049,0,2012
ho1,841,2012-06-19,171,1,0,0,2,28.735632183908045,-1.1070955846951966,-0.46072821772355027,0.774721644114477,-0.7941271458798049,0,2012
ho1,841,2012-06-19,171,3,0,0,2,1.1494252873563218,-1.1070955846951966,-0.46072821772355027,-0.7089638222252177,-0.7941271458798049,0,2012
ho1,841,2012-06-19,171,4,0,0,2,1.1494252873563218,-1.1070955846951966,-0.46072821772355027,-0.7089638222252177,-0.7941271458798049,0,2012
ho1,841,2012-06-19,171,5,0,0,2,12.643678160919542,-1.1070955846951966,-0.46072821772355027,-0.09076154458367816,-0.7941271458798049,0,2012
ho1,841,2012-06-19,171,6,2,1,2,8.045977011494255,-1.1070955846951966,-0.46072821772355027,-0.33804245564029395,-0.7941271458798049,1,2012
ho1,841,2012-06-19,171,7,0,0,2,26.436781609195403,-1.1070955846951966,-0.46072821772355027,0.6510811885861693,-0.7941271458798049,0,2012
ho1,841,2012-06-26,178,0,0,0,1,24.193548387096772,-1.1070955846951966,-0.26452831736287286,0.5304320344012879,-0.8554755386386431,0,2012
ho1,841,2012-06-26,178,1,0,0,1,27.41935483870968,-1.1070955846951966,-0.26452831736287286,0.7039275123200429,-0.8554755386386431,0,2012
ho1,841,2012-06-26,178,3,0,0,1,1.6129032258064515,-1.1070955846951966,-0.26452831736287286,-0.6840363110299943,-0.8554755386386431,0,2012
ho1,841,2012-06-26,178,5,1,1,1,25.806451612903224,-1.1070955846951966,-0.26452831736287286,0.6171797733606653,-0.8554755386386431,1,2012
ho1,841,2012-06-26,178,6,0,0,1,6.451612903225806,-1.1070955846951966,-0.26452831736287286,-0.42379309415186245,-0.8554755386386431,0,2012
ho1,841,2012-06-26,178,7,0,0,1,14.516129032258062,-1.1070955846951966,-0.26452831736287286,0.009945600645024076,-0.8554755386386431,0,2012
ho1,841,2012-07-08,190,0,0,0,6,18.965517241379313,-1.1070955846951966,0.07181436896971698,0.2492497081191686,-0.5487335748444526,0,2012
ho1,841,2012-07-08,190,1,0,0,6,17.241379310344826,-1.1070955846951966,0.07181436896971698,0.1565193664729375,-0.5487335748444526,0,2012
ho1,841,2012-07-08,190,2,0,0,6,1.7241379310344827,-1.1070955846951966,0.07181436896971698,-0.6780537083431407,-0.5487335748444526,0,2012
ho1,841,2012-07-08,190,3,0,0,6,3.4482758620689653,-1.1070955846951966,0.07181436896971698,-0.5853233666969099,-0.5487335748444526,0,2012
ho1,841,2012-07-08,190,5,6,1,6,41.37931034482759,-1.1070955846951966,0.07181436896971698,1.4547441495201703,-0.5487335748444526,1,2012
ho1,841,2012-07-08,190,6,0,0,6,6.896551724137931,-1.1070955846951966,0.07181436896971698,-0.39986268340444797,-0.5487335748444526,0,2012
ho1,841,2012-07-08,190,7,0,0,6,10.344827586206897,-1.1070955846951966,0.07181436896971698,-0.21440200011198615,-0.5487335748444526,0,2012
ho1,841,2012-07-13,195,0,0,0,1,11.39240506329114,-1.1070955846951966,0.2119571549416294,-0.15805951404845336,-0.8554755386386431,0,2012
ho1,841,2012-07-13,195,1,0,0,1,10.126582278481013,-1.1070955846951966,0.2119571549416294,-0.2261400180418887,-0.8554755386386431,0,2012
ho1,841,2012-07-13,195,2,0,0,1,1.2658227848101267,-1.1070955846951966,0.2119571549416294,-0.7027035459959362,-0.8554755386386431,0,2012
ho1,841,2012-07-13,195,3,0,0,1,3.79746835443038,-1.1070955846951966,0.2119571549416294,-0.5665425380090655,-0.8554755386386431,0,2012
ho1,841,2012-07-13,195,5,1,1,1,59.493670886075954,-1.1070955846951966,0.2119571549416294,2.428999637702091,-0.8554755386386431,1,2012
ho1,841,2012-07-13,195,6,0,0,1,6.329113924050633,-1.1070955846951966,0.2119571549416294,-0.43038153002219487,-0.8554755386386431,0,2012
ho1,841,2012-07-13,195,7,0,0,1,7.59493670886076,-1.1070955846951966,0.2119571549416294,-0.3623010260287595,-0.8554755386386431,0,2012
ho1,841,2012-07-19,201,0,0,0,5,4.878048780487805,-1.1070955846951966,0.3801284981079243,-0.5084250346000354,-0.6100819676032907,0,2012
ho1,841,2012-07-19,201,1,0,0,5,6.097560975609757,-1.1070955846951966,0.3801284981079243,-0.44283528075270134,-0.6100819676032907,0,2012
ho1,841,2012-07-19,201,2,0,0,5,1.2195121951219512,-1.1070955846951966,0.3801284981079243,-0.7051942961420375,-0.6100819676032907,0,2012
ho1,841,2012-07-19,201,3,0,0,5,2.4390243902439024,-1.1070955846951966,0.3801284981079243,-0.6396045422947035,-0.6100819676032907,0,2012
ho1,841,2012-07-19,201,5,4,0.8,5,71.95121951219512,-1.1070955846951966,0.3801284981079243,3.0990114270033384,-0.6100819676032907,1,2012
ho1,841,2012-07-19,201,6,1,0.2,5,6.097560975609757,-1.1070955846951966,0.3801284981079243,-0.44283528075270134,-0.6100819676032907,1,2012
ho1,841,2012-07-19,201,7,0,0,5,7.317073170731707,-1.1070955846951966,0.3801284981079243,-0.3772455269053673,-0.6100819676032907,0,2012
ho1,841,2012-07-25,207,0,0,0,1,4.545454545454546,-1.1070955846951966,0.5482998412742193,-0.526313149285672,-0.8554755386386431,0,2012
ho1,841,2012-07-25,207,1,0,0,1,1.1363636363636365,-1.1070955846951966,0.5482998412742193,-0.7096663248134468,-0.8554755386386431,0,2012
ho1,841,2012-07-25,207,3,0,0,1,1.1363636363636365,-1.1070955846951966,0.5482998412742193,-0.7096663248134468,-0.8554755386386431,0,2012
ho1,841,2012-07-25,207,5,1,1,1,79.54545454545455,-1.1070955846951966,0.5482998412742193,3.5074567123253733,-0.8554755386386431,1,2012
ho1,841,2012-07-25,207,6,0,0,1,3.4090909090909087,-1.1070955846951966,0.5482998412742193,-0.5874308744615969,-0.8554755386386431,0,2012
ho1,841,2012-07-25,207,7,0,0,1,10.227272727272727,-1.1070955846951966,0.5482998412742193,-0.22072452340604737,-0.8554755386386431,0,2012
ho1,841,2012-08-06,219,1,0,0,4,5.633802816901409,-1.1070955846951966,0.8846425276068091,-0.4677778632016875,-0.6714303603621288,0,2012
ho1,841,2012-08-06,219,5,4,1,4,84.50704225352112,-1.1070955846951966,0.8846425276068091,3.774308751825891,-0.6714303603621288,1,2012
ho1,841,2012-08-06,219,7,0,0,4,9.859154929577466,-1.1070955846951966,0.8846425276068091,-0.2405232231109244,-0.6714303603621288,0,2012
