year;sample_number;size;ecto-mites_xs;ecto-mites_s;ecto-mites_m;ecto-mites_l;tracheal-mites;parasite_apicystis;parasite_nosema;parasite_crithidia;parasitoid_braconidae_larvae;parasitoid_conopidae_ventral_egg;parasitoid_conopidae_ventral_larvae;parasitoid_conopidae_dorsal_egg;parasitoid_conopidae_dorsal_larvae;parasitoid_conopidae_dead_larvae;nematode;ovary_development;fatbody_look;comment;dissector
2011;148;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;149;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;150;3.4;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;151;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;152;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;153;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;155;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;158;3.7;0;0;1;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;154.1;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;154.2;3.5;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;156;3.8;0;1;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;157;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;159;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;160;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;161;4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;unter soro eingeordnet/prŠpariert;B
2011;163;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;166;3.1;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;162;3.5;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;167;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;168;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;169;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;170;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;171;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;172;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;173;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;174;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;175;3.7;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;176;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;177;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;178;3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;179;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;181;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;182;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;183;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;184;3.7;0;1;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;180;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;185;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;186;3.9;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;yes;normal;;NA
2011;187;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;189;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;190;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;191;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;192;3.8;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;194;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;195;3.2;0;1;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;196;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;188;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;193;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;197;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;198;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;199;3.5;0;0;0;0;1;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;200;4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;201;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;202;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;204;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;205;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;206;3.7;0;0;0;0;2;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;207;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
