Rhododendron hirsutum L.;Hh;
Rhodothamnus chamaecistus (L.) Rchb.;A;
Rosa canina L. s. l.;Po;
Rosa corymbifera Borkh. s. l.;Po;
Rosa dumalis Bechst.;Po;
Rubus idaeus L.;BH;
Rumex acetosa L.;Wb;
Rumex arifolius All.;Wb;
Rumex obtusifolius L.;Wb;
Sagina procumbens L.;AB;
Sagina saginoides (L.) H. Karst.;AB;
Salix retusa L.;AB;
Salix serpillifolia Scop.;AB;
Salvia glutinosa L.;Hh;
Salvia verticillata L.;H;
Sanguisorba officinalis L.;AB;
Sanicula europaea L.;A;
Saxifraga aizoides L.;ADe;
Saxifraga androsacea L.;ADe;
Saxifraga caesia L.;ADe;
Saxifraga paniculata Mill.;ADe;
Saxifraga rotundifolia L.;ABDe;
Saxifraga stellaris L.;ADe;
Scabiosa lucida Vill.;B`;
Scrophularia nodosa L.;Hw;
Sedum album L.;AB;
Sedum atratum L.;AB;
Senecio abrotanifolius L.;B`;
Senecio germanicus Wallr.;B`;
Senecio ovatus (Gaertn., B. Mey. & Scherb.) Willd.;B`;
Sesleria albicans Kit. ex Schult.;W;
Silene acaulis (L.) Jacq. s. str.;FHh;
Silene dioica (L.) Clairv.;Ft;
Silene nutans L.;Fn;
Silene vulgaris (Moench) Garcke s. l.;FHh;
Solanum dulcamara L.;Po;
Soldanella alpina L.;Hb;
Solidago virgaurea L.;B`;
Stachys sylvatica L.;H;
Stellaria graminea L.;AB;
Stellaria nemorum L. s. l.;AB;
Taraxacum sect. Alpina Hegetschw.;B`;
Taraxacum sect. Palustria  (Lyons) Symons;B`;
Taraxacum sect. Ruderalia  Wiggers;B`;
Teucrium chamaedrys L.;Hh;
Thalictrum aquilegiifolium L.;Po;
Thesium alpinum L.;B;
Thymus praecox Opiz s. l.;B;
Thymus pulegioides L. s. l.;B;
Tofieldia calyculata (L.) Wahlenb.;AB;
Tofieldia pusilla (Michx.) Pers.;AB;
Tragopogon minor Mill.;B`;
Tragopogon orientalis L.;B`;
Tragopogon pratensis L. s. str.;B`;
Traunsteinera globosa (L.) Rchb.;Ft;
Trifolium badium Schreb.;H;
Trifolium medium L.;H;
Trifolium montanum L.;H;
Trifolium pratense L.;Hh;
Trifolium repens L.;Hb;
Trisetum flavescens (L.) P. Beauv.;W;
Trollius europaeus L.;B;
Tussilago farfara L.;B`;
Urtica dioica L. s. l.;W;
Vaccinium myrtillus L.;BHb;
Vaccinium vitis-idaea L.;BHb;
Valeriana dioica L.;B`;
Valeriana montana L.;B`;
Valeriana officinalis L. s. str.;B`;
