"Stationsname"	"date"	"elevation"	"Messortname"	"Lat"	"Lon"	"year"	"T_meanday"	"stdDate"	"Daynumber"
"Blaueishuette"	"23.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.24	23.06.10	14783
"Blaueishuette"	"24.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	7.88	24.06.10	14784
"Blaueishuette"	"25.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	10.74	25.06.10	14785
"Blaueishuette"	"26.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	11.45	26.06.10	14786
"Blaueishuette"	"27.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	12.04	27.06.10	14787
"Blaueishuette"	"28.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	12.17	28.06.10	14788
"Blaueishuette"	"29.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	13.56	29.06.10	14789
"Blaueishuette"	"30.06.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	13.46	30.06.10	14790
"Blaueishuette"	"01.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	14.32	01.07.10	14791
"Blaueishuette"	"02.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	15.85	02.07.10	14792
"Blaueishuette"	"03.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	17.06	03.07.10	14793
"Blaueishuette"	"04.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	15.46	04.07.10	14794
"Blaueishuette"	"05.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	12.91	05.07.10	14795
"Blaueishuette"	"06.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	9.45	06.07.10	14796
"Blaueishuette"	"07.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.56	07.07.10	14797
"Blaueishuette"	"08.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	14.26	08.07.10	14798
"Blaueishuette"	"09.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	18.65	09.07.10	14799
"Blaueishuette"	"10.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	19.47	10.07.10	14800
"Blaueishuette"	"11.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	18.94	11.07.10	14801
"Blaueishuette"	"12.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	18.1	12.07.10	14802
"Blaueishuette"	"13.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	16.41	13.07.10	14803
"Blaueishuette"	"14.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	20.39	14.07.10	14804
"Blaueishuette"	"15.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	16.01	15.07.10	14805
"Blaueishuette"	"16.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	17.93	16.07.10	14806
"Blaueishuette"	"17.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	14.86	17.07.10	14807
"Blaueishuette"	"18.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.42	18.07.10	14808
"Blaueishuette"	"19.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	9.15	19.07.10	14809
"Blaueishuette"	"20.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	13.41	20.07.10	14810
"Blaueishuette"	"21.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	17.95	21.07.10	14811
"Blaueishuette"	"22.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	17.51	22.07.10	14812
"Blaueishuette"	"23.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	11.38	23.07.10	14813
"Blaueishuette"	"24.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	5.78	24.07.10	14814
"Blaueishuette"	"25.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.22	25.07.10	14815
"Blaueishuette"	"26.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	7.25	26.07.10	14816
"Blaueishuette"	"27.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	7.15	27.07.10	14817
"Blaueishuette"	"28.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	9.15	28.07.10	14818
"Blaueishuette"	"29.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.35	29.07.10	14819
"Blaueishuette"	"30.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	5.65	30.07.10	14820
"Blaueishuette"	"31.07.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	9.01	31.07.10	14821
"Blaueishuette"	"01.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	14.33	01.08.10	14822
"Blaueishuette"	"02.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	12.76	02.08.10	14823
"Blaueishuette"	"03.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.94	03.08.10	14824
"Blaueishuette"	"04.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.74	04.08.10	14825
"Blaueishuette"	"05.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.17	05.08.10	14826
"Blaueishuette"	"06.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.17	06.08.10	14827
"Blaueishuette"	"07.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	7.12	07.08.10	14828
"Blaueishuette"	"08.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	11.42	08.08.10	14829
"Blaueishuette"	"09.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	10.37	09.08.10	14830
"Blaueishuette"	"10.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	12.72	10.08.10	14831
"Blaueishuette"	"11.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	13.38	11.08.10	14832
"Blaueishuette"	"12.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	12.28	12.08.10	14833
"Blaueishuette"	"13.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	9.2	13.08.10	14834
"Blaueishuette"	"14.08.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	10.42	14.08.10	14835
