Carlina acaulis L.;insects;always;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carlina biebersteinii Bernh. ex Hornem.;selfing;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
;insects;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
Carlina vulgaris L. s. str.;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Carum carvi L.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Centaurea jacea L. s. l.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Centaurea microptilon (Godr.) Gren. & Godr.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Centaurea scabiosa L. s. l.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cephalanthera longifolia (L.) Fritsch;insects;the rule;Dafni, A., Ivri, Y. 1981: The flower biology of Cephalanthera longifolia (Orchidaceae) - pollen imitation and facultative floral mimicry. Plant Systematics and Evolution 137:229-240;species;
;insects;always;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cerastium fontanum Baumg. s. str.;selfing;the rule;Fryxell, P.M. 1957: Modes of reproduction of higher plants. The Botanical Review 23:135-233;species;
Cerastium holosteoides Fr.;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cerastium latifolium L.;selfing;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;rare;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cerastium lucorum (Schur) Möschl;selfing;the rule;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);species;
;insects;rare;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);species;
Chaerophyllum hirsutum L. s. l.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Chrysosplenium alternifolium L.;selfing;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;often;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;slug;rare;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cirsium arvense (L.) Scop.;insects;always;Moore, R.J. 1975: The biology of Canadian weeds. 13. Cirsium arvense (L.) Scop.. Canadian Journal of Plant Science 55:1033-1048;species;
;insects;always;Anmerkung 2002: pers. obs.;species;
Cirsium oleraceum (L.) Scop.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cirsium palustre (L.) Scop.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cirsium spinosissimum (L.) Scop.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cirsium vulgare (Savi) Ten.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Klinkhamer, P.G.L., de Jong, T.J. 1993: Biological Flora of the British Isles: Cirsium vulgare (Savi) Ten. (Carduus lanceolatus L., Cirsium lanceolatum (L.) Scop., non Hill). Journal of Ecology 81:171-191;species;
Clinopodium vulgare L.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Coeloglossum viride (L.) Hartm.;insects;the rule;Proctor, M.C.F., Yeo, P., Lack, A. 1996: The natural history of pollination. HarperCollins Publishers, London;species;
Convallaria majalis L.;wind;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Crepis alpestris (Jacq.) Tausch;selfing;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
;insects;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
Crepis aurea (L.) Cass.;geitonogamy;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Crepis biennis L.;geitonogamy;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Crepis paludosa (L.) Moench;geitonogamy;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Crepis terglouensis (Hacq.) Kern.;selfing;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
;insects;unknown;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);genus;
Crocus albiflorus Kit.;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Crocus vernus (L.) Hill s. str.;insects;always;Chichiricco, G. 1996: Intra- and interspecific reproductive barriers in Crocus (Iridaceae). Plant Systematics and Evolution 201:83-92;species;
Cruciata laevipes Opiz;selfing;rare;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cuscuta epithymum (L.) L. s. str.;selfing;at failure of outcrossing;Holm, L., Doll, J., Holm, E., Pancho, J., Herberger, J. 1997: World Weeds. John Wiley & Sons, New York;species;
;selfing;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Holm, L., Doll, J., Holm, E., Pancho, J., Herberger, J. 1997: World Weeds. John Wiley & Sons, New York;species;
;insects;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cuscuta trifolii Bab. & Gibson;selfing;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Cynosurus cristatus L.;wind;the rule;Lodge, R.W. 1959: Biological Flora of the British Isles: Cynosurus cristatus L.. Journal of Ecology 47:511-518;species;
;wind;often;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;selfing;rare;Lodge, R.W. 1959: Biological Flora of the British Isles: Cynosurus cristatus L.. Journal of Ecology 47:511-518;species;
;selfing;often;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
