BiolFlor-Name;Floral rewards;;;
;Floral rewards;Amount of floral reward;Reference
Galeobdolon luteum Huds.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Galeobdolon montanum (Pers.) Pers. ex Rchb.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Galeopsis speciosa Mill.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Galeopsis tetrahit L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentiana asclepiadea L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentiana bavarica L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentiana clusii Perrier & Songeon;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentiana cruciata L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentiana nivalis L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentiana pannonica Scop.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentiana utriculosa L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentiana verna L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentianella aspera (Hegetschw.) Dostal ex Skalicky, Chrtek & Gill;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gentianella ciliata (L.) Borkh.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Geranium sylvaticum L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Geum rivale L.;nectar;plenty;Weber, H.E. 1995: Rosoideae. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2A), S. 269-659, Blackwell Wissenschafts-Verlag, Berlin;
;nectar;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Geum urbanum L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;present;Weber, H.E. 1995: Rosoideae. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 4 (2A), S. 269-659, Blackwell Wissenschafts-Verlag, Berlin;
Glechoma hederacea L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Globularia cordifolia L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Globularia nudicaulis L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gymnadenia conopsea (L.) R. Br.;nectar;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gymnadenia odoratissima (L.) Rich.;nectar;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Gypsophila repens L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Hedysarum hedysaroides (L.) Schinz & Thell.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Helianthemum alpestre (Jacq.) DC.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Helianthemum nummularium (L.) Mill. s. l.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Helleborus niger L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Hepatica nobilis Schreb.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Heracleum sphondylium L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Hippocrepis comosa L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Homogyne alpina (L.) Cass.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Hypericum maculatum Crantz s. l.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Hypericum perforatum L.;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
