site1,site2,metric,metric.class,value,elev1,elev2,man1,man2,lon1,lat1,lon2,lat2,elev.diff,mean.elev,man.diff,year
h1,t5,WN.repl,WN.partition,0.7692234454713247,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,t5,WN.rich,WN.partition,0.11246847064769636,817,746,grasing,mowing,12.836133,47.590633,12.946317,47.604817,71,781.5,TRUE,2010
h1,wma1,OS,aggregate,0.10995668268603172,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,OS.repl,OS.partition,0.06965317395988256,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,OS.rich,OS.partition,0.040303508726149156,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,S,aggregate,0.4104872341717693,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,ST,aggregate,0.5889894485073711,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,ST.h,ST.partition,0.055099861588140474,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,ST.l,ST.partition,0.4000021598443927,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,ST.lh,ST.partition,0.13388742707483797,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,WN,aggregate,0.6989461311934029,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,WN.repl,WN.partition,0.5394693908761207,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma1,WN.rich,WN.partition,0.15947674031728215,817,766,grasing,grasing,12.836133,47.590633,12.924383,47.596033,51,791.5,FALSE,2010
h1,wma2,OS,aggregate,0.18243763027838494,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,OS.repl,OS.partition,0.05764646771105568,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
