bb.sp,plant.sp,preference
bss,Lilium martagon,0.3033949366783605
bss,Lotus corniculatus,1.756103805740825
hort,Lotus corniculatus,0.3818043955540173
lapi,Lotus corniculatus,8.018454633105472
mend,Lotus corniculatus,0.6225125785114376
mont,Lotus corniculatus,2.419317723189963
muci,Lotus corniculatus,9.63740232952363
pasc,Lotus corniculatus,2.3058498056581023
prat,Lotus corniculatus,0.23640512232972094
psit,Lotus corniculatus,0.11345978098235389
pyre,Lotus corniculatus,0.517779944612423
soro,Lotus corniculatus,0.30074949133641726
wurf,Lotus corniculatus,6.626344681434432
bss,Lysimachia nemorum,1.078175527776314
pasc,Lysimachia nemorum,0.19196958565986477
soro,Lysimachia nemorum,0.5002578685375413
hort,Melampyrum sylvaticum,0.7800368382743474
bss,Mentha longifolia,0.22009213223086624
bss,Myosotis alpestris,0.6634331655190723
jone,Myosotis alpestris,3.0681832533858873
mont,Myosotis alpestris,2.3277275115374945
prat,Myosotis alpestris,0.29859867071305646
psit,Myosotis alpestris,0.7400791349595655
soro,Myosotis alpestris,0.06458010530084468
bss,Origanum vulgare,4.817768223761313
hort,Origanum vulgare,0.1186856011738916
hypn,Origanum vulgare,7.859822165983988
lapi,Origanum vulgare,1.319877669206697
pasc,Origanum vulgare,0.8996884887482695
prat,Origanum vulgare,1.7882188607275231
psit,Origanum vulgare,3.2809779154865635
soro,Origanum vulgare,1.715649839015534
wurf,Origanum vulgare,0.029371711762021847
bss,Petasites albus,2.052874874396783
humi,Petasites albus,9.187753250531408
pasc,Petasites albus,0.8353877098647321
prat,Petasites albus,8.506832461946283
psit,Petasites albus,7.347441806251419
soro,Petasites albus,8.129087171432943
wurf,Petasites albus,0.5697621414135027
bss,Phyteuma orbiculare,0.2447061432619209
hort,Phyteuma orbiculare,0.20926571791142662
jone,Phyteuma orbiculare,1.6556550717336909
lapi,Phyteuma orbiculare,2.362088488804414
mont,Phyteuma orbiculare,0.40026023538165134
prat,Phyteuma orbiculare,1.5845923919912928
psit,Phyteuma orbiculare,1.6279600697983727
pyre,Phyteuma orbiculare,2.1422694965041664
soro,Phyteuma orbiculare,9.290097055444544
wurf,Phyteuma orbiculare,1.0354963645031756
soro,Phyteuma spicatum,3.8547933156491103
wurf,Phyteuma spicatum,0.5940915135612244
bss,Plantago lanceolata,1.940861899536782
hort,Plantago lanceolata,0.09613297227523146
prat,Plantago lanceolata,0.08360149648313421
wurf,Plantago lanceolata,0.035859449749062
bss,Plantago media,2.3357519496635746
hypn,Plantago media,2.5982803471556966
jone,Plantago media,1.6210336124105458
pasc,Plantago media,0.09940487339877249
prat,Plantago media,0.7574008724082437
bss,Polygala alpestris,0.061585456462130116
mont,Polygala alpestris,0.3609675892142911
psit,Polygala alpestris,3.2451647575316698
hort,Polygala amara,0.6437424650440051
pasc,Polygala amara,0.2564730430985023
psit,Polygala amara,2.0964118563293765
bss,Polygala chamaebuxus,3.060234895119523
hort,Polygala chamaebuxus,0.37600263439639703
pasc,Polygala chamaebuxus,5.06526188089163
prat,Polygala chamaebuxus,0.5065774253342965
psit,Polygala chamaebuxus,1.121679154262959
soro,Polygala chamaebuxus,0.6517543491140945
wurf,Polygala chamaebuxus,9.404662054653256
prat,Polygonatum verticillatum,1.405630175299887
wurf,Polygonatum verticillatum,0.47627107190398243
bss,Potentilla aurea,0.3966611935335918
mont,Potentilla brauneana,2.725218391755007
bss,Potentilla erecta,0.8703692441254405
jone,Potentilla erecta,0.4364348410811897
mont,Potentilla erecta,0.3219650129254932
pasc,Potentilla erecta,0.03524792755382295
prat,Potentilla erecta,0.06334029397348571
soro,Potentilla erecta,0.0377973176901547
wurf,Potentilla erecta,0.057269901333802706
bss,Primula elatior,0.1968974247900255
hort,Primula elatior,4.11100387972087
lapi,Primula elatior,1.950100295317348
pasc,Primula elatior,3.3493220690573406
prat,Primula elatior,0.9300287395087391
wurf,Primula elatior,0.9440685669504416
wurf,Primula farinosa,0.08429126695437131
mont,Primula minima,1.324424638748912
psit,Primula minima,2.89733041723097
hort,Primula veris,1.955800183578652
pasc,Primula veris,0.18675163140651216
wurf,Primula veris,0.5400395555395313
bss,Prunella vulgaris,1.4444296424823557
hort,Prunella vulgaris,1.9734732594090447
hypn,Prunella vulgaris,1.0448524862471338
jone,Prunella vulgaris,3.451722019778575
lapi,Prunella vulgaris,0.4560028060479791
mend,Prunella vulgaris,1.6583767354928904
mont,Prunella vulgaris,5.194163470614638
muci,Prunella vulgaris,1.3707226689778667
pasc,Prunella vulgaris,4.86807135192683
prat,Prunella vulgaris,3.2469287069542636
psit,Prunella vulgaris,0.16642510616359377
pyre,Prunella vulgaris,1.3246932159233098
soro,Prunella vulgaris,1.2237748956874208
wurf,Prunella vulgaris,2.189965649311477
bss,Ranunculus acris,0.7217984814136045
pasc,Ranunculus acris,0.03834631599813374
psit,Ranunculus acris,0.12630045099830345
wurf,Ranunculus acris,0.026156785699800376
bss,Ranunculus montanus,0.08613925480312248
mont,Ranunculus montanus,0.1819779565094235
prat,Ranunculus montanus,0.09665908276697291
psit,Ranunculus montanus,0.18979751220008834
wurf,Ranunculus montanus,0.07178157150345917
bss,Ranunculus nemorosus,1.077691789988254
pasc,Ranunculus nemorosus,0.02310616727595599
bss,Ranunculus repens,2.0907836537035633
bss,Rhinanthus alectorolophus,5.998856633438188
hort,Rhinanthus alectorolophus,3.684396020142308
jone,Rhinanthus alectorolophus,4.188290345762929
pasc,Rhinanthus alectorolophus,1.375355034812468
prat,Rhinanthus alectorolophus,0.5964631730144745
soro,Rhinanthus alectorolophus,0.8094479078463348
wurf,Rhinanthus alectorolophus,4.3582317651639535
bss,Rhinanthus glacialis,3.781933592131561
gers,Rhinanthus glacialis,1.3027252919715864
hort,Rhinanthus glacialis,6.512350616583754
lapi,Rhinanthus glacialis,1.2628606209515694
mend,Rhinanthus glacialis,1.5246975422928415
mont,Rhinanthus glacialis,0.4053575146016436
muci,Rhinanthus glacialis,0.6609470421120345
pasc,Rhinanthus glacialis,2.8903624710839195
prat,Rhinanthus glacialis,2.369146501573743
pyre,Rhinanthus glacialis,1.308309557239985
soro,Rhinanthus glacialis,0.3375632470279399
wurf,Rhinanthus glacialis,7.69369939949219
bss,Rhinanthus minor,2.48928576400283
hort,Rhinanthus minor,1.2074131822230694
jone,Rhinanthus minor,3.083125165121936
pasc,Rhinanthus minor,1.2917901809769576
prat,Rhinanthus minor,1.039618374953936
soro,Rhinanthus minor,0.3230159123247935
wurf,Rhinanthus minor,1.8496153219352112
bss,Rhododendron hirsutum,1.4680412313801288
hort,Rhododendron hirsutum,1.3846938650161718
hypn,Rhododendron hirsutum,5.4611022003408625
jone,Rhododendron hirsutum,1.698822860723616
mend,Rhododendron hirsutum,0.7159152094736633
mont,Rhododendron hirsutum,4.141675744109966
pasc,Rhododendron hirsutum,1.7929432729872004
prat,Rhododendron hirsutum,2.835340123126945
psit,Rhododendron hirsutum,1.8641177997310714
pyre,Rhododendron hirsutum,2.4843041667312566
soro,Rhododendron hirsutum,2.162146362225028
wurf,Rhododendron hirsutum,0.8159539756186047
mont,Rhodothamnus chamaecistus,0.8436283957436458
psit,Rhodothamnus chamaecistus,2.4525119761643515
bss,Rumex acetosa,0.3408068953909061
pasc,Rumex acetosa,0.047762963522595764
soro,Rumex acetosa,0.09733071682023431
bss,Rumex alpestris,0.7618284345144303
bss,Salvia glutinosa,0.0990322012247929
gers,Salvia glutinosa,2.914512691169984
hort,Salvia glutinosa,5.222769050389577
hypn,Salvia glutinosa,0.7287125474965646
pasc,Salvia glutinosa,0.8668747360265139
prat,Salvia glutinosa,0.16933544718385526
psit,Salvia glutinosa,0.26316190731577466
wurf,Salvia glutinosa,4.608876662414076
bss,Salvia verticillata,2.669453264087264
